"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 15, 2020","6,864.90","6,874.00","6,874.00","6,810.90","4.61K","-0.11%"
"Apr 14, 2020","6,872.40","6,847.90","6,984.90","6,762.90","4.30K","0.35%"
"Apr 13, 2020","6,848.70","6,916.50","6,916.50","6,576.50","12.68K","-0.93%"
"Apr 12, 2020","6,913.00","6,884.50","7,192.20","6,797.60","8.89K","0.41%"
"Apr 11, 2020","6,884.50","6,874.30","6,954.40","6,780.00","4.07K","0.13%"
"Apr 10, 2020","6,875.50","7,293.70","7,305.76","6,756.40","15.84K","-5.73%"
"Apr 09, 2020","7,293.50","7,367.10","7,370.70","7,117.01","7.75K","-1.00%"
"Apr 08, 2020","7,367.00","7,203.00","7,420.00","7,155.77","8.18K","2.28%"
"Apr 07, 2020","7,203.00","7,340.20","7,452.00","7,088.00","11.99K","-1.95%"
"Apr 06, 2020","7,346.00","6,780.20","7,350.10","6,779.90","14.59K","8.38%"
"Apr 05, 2020","6,778.00","6,880.60","6,914.70","6,693.40","5.65K","-1.51%"
"Apr 04, 2020","6,881.60","6,738.50","7,010.80","6,660.03","7.12K","2.09%"
"Apr 03, 2020","6,740.80","6,810.70","7,048.10","6,624.60","9.97K","-1.14%"
"Apr 02, 2020","6,818.30","6,685.70","7,263.30","6,591.30","20.08K","2.15%"
"Apr 01, 2020","6,675.00","6,429.00","6,714.60","6,180.00","11.23K","3.85%"
"Mar 31, 2020","6,427.68","6,409.10","6,536.00","6,350.00","5.75K","0.31%"
"Mar 30, 2020","6,407.60","5,893.70","6,627.10","5,880.90","12.38K","8.74%"
"Mar 29, 2020","5,892.60","6,252.30","6,279.60","5,892.60","11.22K","-5.71%"
"Mar 28, 2020","6,249.30","6,366.00","6,366.00","6,061.40","12.96K","-1.89%"
"Mar 27, 2020","6,370.00","6,755.00","6,856.00","6,277.80","11.08K","-5.64%"
"Mar 26, 2020","6,750.70","6,688.20","6,790.10","6,536.90","6.73K","0.93%"
"Mar 25, 2020","6,688.20","6,762.00","6,968.00","6,449.90","13.79K","-1.09%"
"Mar 24, 2020","6,762.00","6,491.20","6,838.50","6,406.10","16.62K","4.17%"
"Mar 23, 2020","6,491.20","5,820.10","6,652.40","5,682.70","19.55K","11.40%"
"Mar 22, 2020","5,827.05","6,202.70","6,410.60","5,757.30","16.28K","-6.04%"
"Mar 21, 2020","6,201.80","6,211.10","6,461.00","5,884.70","12.94K","-0.06%"
"Mar 20, 2020","6,205.80","6,173.50","6,897.00","5,687.60","31.08K","0.52%"
"Mar 19, 2020","6,173.40","5,417.10","6,412.61","5,266.42","31.25K","13.98%"
"Mar 18, 2020","5,416.20","5,339.00","5,452.70","5,033.90","21.13K","1.33%"
"Mar 17, 2020","5,345.20","5,068.30","5,564.20","4,964.40","19.60K","5.67%"
"Mar 16, 2020","5,058.50","5,381.90","5,381.90","4,468.00","41.78K","-6.03%"
"Mar 15, 2020","5,383.20","5,217.10","5,984.20","5,133.00","22.62K","3.16%"
"Mar 14, 2020","5,218.20","5,621.80","5,673.20","5,099.00","18.64K","-7.24%"
"Mar 13, 2020","5,625.40","4,873.10","5,965.30","4,001.00","102.82K","14.17%"
"Mar 12, 2020","4,927.00","7,975.30","8,001.70","4,612.10","116.68K","-38.18%"
"Mar 11, 2020","7,969.60","7,917.93","8,020.60","7,635.10","10.98K","0.71%"
"Mar 10, 2020","7,913.80","7,965.50","8,180.00","7,779.00","10.17K","-0.67%"
"Mar 09, 2020","7,967.30","8,073.80","8,214.90","7,700.00","22.56K","-1.32%"
"Mar 08, 2020","8,074.00","8,917.20","8,917.20","8,049.50","25.59K","-9.47%"
"Mar 07, 2020","8,919.00","9,180.60","9,231.10","8,884.80","4.49K","-2.85%"
"Mar 06, 2020","9,180.60","9,085.60","9,199.70","9,016.14","3.14K","0.99%"
"Mar 05, 2020","9,090.80","8,795.30","9,185.00","8,795.30","5.72K","3.44%"
"Mar 04, 2020","8,788.58","8,791.10","8,877.70","8,718.40","4.17K","-0.03%"
"Mar 03, 2020","8,791.10","8,938.50","8,940.00","8,700.00","5.32K","-1.64%"
"Mar 02, 2020","8,938.10","8,556.80","8,990.80","8,524.63","5.32K","4.35%"
"Mar 01, 2020","8,565.20","8,561.50","8,775.00","8,460.00","5.39K","0.09%"
"Feb 29, 2020","8,557.30","8,730.60","8,820.90","8,557.30","2.50K","-1.96%"
"Feb 28, 2020","8,728.00","8,826.10","8,908.30","8,455.20","7.09K","-1.11%"
"Feb 27, 2020","8,825.80","8,813.20","8,975.00","8,555.00","8.39K","0.14%"
"Feb 26, 2020","8,813.20","9,324.80","9,385.90","8,652.70","14.59K","-5.51%"
"Feb 25, 2020","9,327.53","9,674.02","9,686.60","9,251.40","8.49K","-3.58%"
"Feb 24, 2020","9,674.10","9,983.80","10,022.00","9,484.32","6.59K","-3.11%"
"Feb 23, 2020","9,985.00","9,663.00","10,001.00","9,660.20","7.30K","3.34%"
"Feb 22, 2020","9,662.40","9,693.00","9,714.00","9,565.20","1.84K","-0.32%"
"Feb 21, 2020","9,693.46","9,609.20","9,757.40","9,567.90","11.10K","0.89%"
"Feb 20, 2020","9,608.10","9,586.20","9,694.70","9,362.40","6.50K","0.17%"
"Feb 19, 2020","9,592.20","10,184.00","10,309.00","9,350.32","13.94K","-5.80%"
"Feb 18, 2020","10,183.00","9,708.00","10,275.00","9,625.90","8.25K","4.89%"
"Feb 17, 2020","9,708.00","9,929.70","9,963.80","9,501.54","9.30K","-2.23%"
"Feb 16, 2020","9,929.70","9,901.00","10,037.00","9,651.40","6.93K","0.29%"
"Feb 15, 2020","9,901.00","10,335.00","10,369.99","9,800.30","6.40K","-4.20%"
"Feb 14, 2020","10,335.00","10,222.00","10,371.00","10,101.00","4.13K","1.11%"
"Feb 13, 2020","10,222.00","10,338.00","10,489.00","10,080.00","8.98K","-1.13%"
"Feb 12, 2020","10,339.00","10,249.00","10,458.00","10,238.00","8.71K","0.90%"
"Feb 11, 2020","10,247.00","9,851.20","10,316.00","9,720.00","8.45K","4.03%"
"Feb 10, 2020","9,850.20","10,151.50","10,187.00","9,737.80","8.52K","-2.96%"
"Feb 09, 2020","10,151.00","9,877.30","10,161.00","9,871.10","9.64K","2.77%"
"Feb 08, 2020","9,877.20","9,805.20","9,920.70","9,657.80","5.53K","0.73%"
"Feb 07, 2020","9,805.20","9,745.00","9,859.60","9,695.50","3.70K","0.62%"
"Feb 06, 2020","9,744.90","9,612.00","9,860.00","9,547.00","8.58K","1.38%"
"Feb 05, 2020","9,612.00","9,197.50","9,731.20","9,180.20","10.77K","4.51%"
"Feb 04, 2020","9,197.40","9,309.20","9,359.80","9,112.50","4.07K","-1.20%"
"Feb 03, 2020","9,309.30","9,353.09","9,625.30","9,247.10","6.72K","-0.47%"
"Feb 02, 2020","9,353.10","9,408.00","9,501.00","9,175.43","6.44K","-0.61%"
"Feb 01, 2020","9,410.60","9,371.30","9,476.40","9,318.10","2.53K","0.46%"
"Jan 31, 2020","9,367.40","9,512.70","9,519.90","9,221.90","4.87K","-1.53%"
"Jan 30, 2020","9,512.70","9,305.10","9,550.00","9,175.70","9.02K","2.24%"
"Jan 29, 2020","9,304.20","9,390.90","9,442.00","9,244.40","4.60K","-0.95%"
"Jan 28, 2020","9,393.70","8,912.10","9,413.00","8,912.10","9.12K","5.41%"
"Jan 27, 2020","8,912.00","8,622.00","9,001.80","8,585.19","6.28K","3.37%"
"Jan 26, 2020","8,621.60","8,351.10","8,622.00","8,303.60","3.52K","3.21%"
"Jan 25, 2020","8,353.70","8,447.10","8,447.20","8,280.00","2.10K","-1.11%"
"Jan 24, 2020","8,447.10","8,403.57","8,521.81","8,247.70","3.51K","0.52%"
"Jan 23, 2020","8,403.50","8,668.90","8,669.30","8,296.90","5.70K","-3.01%"
"Jan 22, 2020","8,663.90","8,734.20","8,799.90","8,580.63","2.35K","-0.80%"
"Jan 21, 2020","8,734.10","8,638.20","8,782.80","8,512.20","3.25K","1.11%"
"Jan 20, 2020","8,638.20","8,698.60","8,741.10","8,519.60","4.11K","-0.64%"
"Jan 19, 2020","8,694.00","8,891.60","9,169.50","8,455.70","12.41K","-2.22%"
"Jan 18, 2020","8,891.50","8,873.10","8,965.00","8,794.23","3.46K","0.18%"
"Jan 17, 2020","8,875.40","8,719.55","8,994.90","8,674.20","9.69K","1.78%"
"Jan 16, 2020","8,720.60","8,810.90","8,839.90","8,579.80","5.31K","-0.99%"
"Jan 15, 2020","8,807.70","8,760.84","8,873.00","8,560.20","8.78K","0.37%"
"Jan 14, 2020","8,775.60","8,104.10","8,829.00","8,099.30","16.57K","8.41%"
"Jan 13, 2020","8,094.54","8,174.90","8,198.30","8,053.60","2.59K","-0.98%"
"Jan 12, 2020","8,174.70","8,013.63","8,174.70","7,951.70","3.21K","2.01%"
"Jan 11, 2020","8,013.80","8,184.30","8,271.90","7,994.60","4.25K","-1.99%"
"Jan 10, 2020","8,176.30","7,817.40","8,177.77","7,678.47","7.86K","4.59%"
"Jan 09, 2020","7,817.45","8,036.79","8,036.79","7,756.20","4.67K","-2.73%"
"Jan 08, 2020","8,036.80","8,158.20","8,442.00","7,882.80","11.76K","-1.39%"
"Jan 07, 2020","8,150.00","7,759.50","8,200.10","7,741.90","12.35K","5.05%"
"Jan 06, 2020","7,757.90","7,364.70","7,784.90","7,358.00","8.54K","5.34%"
"Jan 05, 2020","7,364.60","7,370.30","7,509.90","7,315.80","4.45K","-0.07%"
"Jan 04, 2020","7,369.83","7,371.80","7,422.00","7,297.70","4.27K","0.03%"
"Jan 03, 2020","7,367.50","6,989.43","7,437.60","6,909.30","6.68K","5.41%"
"Jan 02, 2020","6,989.40","7,212.70","7,225.20","6,963.00","4.85K","-3.10%"
"Jan 01, 2020","7,212.70","7,208.20","7,268.80","7,185.40","2.07K","0.06%"
